EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 DD   : daily Wind direction in degrees
23-27 Q_DD : quality code for DD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, MALMO (STAID: 5175).
Blended and updated with sources: 158055 158429 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   DD, Q_DD
158429,19471205,  110,    0
158429,19471206,  110,    0
158429,19471207,   50,    0
158429,19471208,   90,    0
158429,19471209,  360,    0
158429,19471210,  360,    0
158429,19471211,  270,    0
158429,19471212,  340,    0
158429,19471213,  320,    0
158429,19471214,  360,    0
158429,19471215,  270,    0
158429,19471216,   50,    0
158429,19471217,   20,    0
158429,19471218,  320,    0
158429,19471219,   20,    0
158429,19471220,  250,    0
158429,19471221,  270,    0
158429,19471222,  340,    0
158429,19471223,  320,    0
158429,19471224,  230,    0
158429,19471225,  250,    0
158429,19471226,  270,    0
158429,19471227,  270,    0
158429,19471228,  250,    0
158429,19471229,  250,    0
158429,19471230,   70,    0
158429,19471231,   50,    0
158429,19480101,   70,    0
158429,19480102,  160,    0
158429,19480103,  320,    0
158429,19480104,  140,    0
158429,19480105,  180,    0
158429,19480106,  270,    0
158429,19480107,   90,    0
158429,19480108,  200,    0
158429,19480109,  360,    0
158429,19480110,   70,    0
158429,19480111,   70,    0
158429,19480112,  160,    0
158429,19480113,  250,    0
158429,19480114,  230,    0
158429,19480115,   20,    0
158429,19480116,   70,    0
158429,19480117,  180,    0
158429,19480118,  200,    0
158429,19480119,  180,    0
158429,19480120,   70,    0
158429,19480121,  250,    0
158429,19480122,  230,    0
158429,19480123,   70,    0
158429,19480124,   70,    0
158429,19480125,   90,    0
158429,19480126,   90,    0
158429,19480127,  140,    0
158429,19480128,   90,    0
158429,19480129,  140,    0
158429,19480130,  160,    0
158429,19480131,  230,    0
158429,19480201,  250,    0
158429,19480202,  180,    0
158429,19480203,  250,    0
158429,19480204,  290,    0
158429,19480205,  270,    0
158429,19480206,  160,    0
158429,19480207,  110,    0
158429,19480208,  290,    0
158429,19480209,   90,    0
158429,19480210,  140,    0
158429,19480211,   70,    0
158429,19480212,  140,    0
158429,19480213,   20,    0
158429,19480214,   20,    0
158429,19480215,  110,    0
158429,19480216,   20,    0
158429,19480217,   50,    0
158429,19480218,   70,    0
158429,19480219,   70,    0
158429,19480220,   90,    0
158429,19480221,   70,    0
158429,19480222,   90,    0
158429,19480223,  360,    0
158429,19480224,  270,    0
158429,19480225,    0,    0
158429,19480226,  340,    0
158429,19480227,   20,    0
158429,19480228,  110,    0
158429,19480229,   20,    0
158429,19480301,   50,    0
158429,19480302,  110,    0
158429,19480303,  180,    0
158429,19480304,  340,    0
158429,19480305,  290,    0
158429,19480306,  250,    0
158429,19480307,  230,    0
158429,19480308,  230,    0
158429,19480309,  270,    0
158429,19480310,  270,    0
158429,19480311,  320,    0
158429,19480312,  250,    0
158429,19480313,  340,    0
158429,19480314,  320,    0
158429,19480315,  200,    0
158429,19480316,  270,    0
158429,19480317,  320,    0
158429,19480318,   70,    0
158429,19480319,  200,    0
158429,19480320,  250,    0
158429,19480321,  250,    0
158429,19480322,  250,    0
158429,19480323,  340,    0
158429,19480324,  320,    0
158429,19480325,  340,    0
158429,19480326,  230,    0
158429,19480327,  230,    0
158429,19480328,  340,    0
158429,19480329,  200,    0
158429,19480330,  140,    0
158429,19480331,  140,    0
158429,19480401,  180,    0
158429,19480402,  200,    0
158429,19480403,  200,    0
158429,19480404,  230,    0
158429,19480405,  250,    0
158429,19480406,  360,    0
158429,19480407,  230,    0
158429,19480408,  200,    0
158429,19480409,  200,    0
158429,19480410,  270,    0
158429,19480411,  360,    0
158429,19480412,   90,    0
158429,19480413,  250,    0
158429,19480414,  290,    0
158429,19480415,  340,    0
158429,19480416,  180,    0
158429,19480417,   90,    0
158429,19480418,  140,    0
158429,19480419,  160,    0
158429,19480420,   90,    0
158429,19480421,   90,    0
158429,19480422,  110,    0
158429,19480423,   90,    0
158429,19480424,   90,    0
158429,19480425,  110,    0
158429,19480426,  320,    0
158429,19480427,  270,    0
158429,19480428,  250,    0
158429,19480429,  250,    0
158429,19480430,  160,    0
158429,19480501,  250,    0
158429,19480502,  160,    0
158429,19480503,  360,    0
158429,19480504,  340,    0
158429,19480505,   90,    0
158429,19480506,  320,    0
158429,19480507,  340,    0
158429,19480508,  250,    0
158429,19480509,   90,    0
158429,19480510,   90,    0
158429,19480511,   90,    0
158429,19480512,  320,    0
158429,19480513,  320,    0
158429,19480514,  340,    0
158429,19480515,  340,    0
158429,19480516,  230,    0
158429,19480517,  320,    0
158429,19480518,  340,    0
158429,19480519,  320,    0
158429,19480520,  160,    0
158429,19480521,  320,    0
158429,19480522,  320,    0
158429,19480523,  270,    0
158429,19480524,  160,    0
158429,19480525,  340,    0
158429,19480526,   90,    0
158429,19480527,  230,    0
158429,19480528,  200,    0
158429,19480529,  360,    0
158429,19480530,  360,    0
158429,19480531,  250,    0
158429,19480601,  320,    0
158429,19480602,  180,    0
158429,19480603,  270,    0
158429,19480604,  160,    0
158429,19480605,  230,    0
158429,19480606,  180,    0
158429,19480607,  200,    0
158429,19480608,  340,    0
158429,19480609,  160,    0
158429,19480610,  320,    0
158429,19480611,   90,    0
158429,19480612,   90,    0
158429,19480613,   70,    0
158429,19480614,  200,    0
158429,19480615,  160,    0
158429,19480616,  250,    0
158429,19480617,  230,    0
158429,19480618,  270,    0
158429,19480619,  250,    0
158429,19480620,  340,    0
158429,19480621,  320,    0
158429,19480622,  180,    0
158429,19480623,  340,    0
158429,19480624,  320,    0
158429,19480625,  340,    0
158429,19480626,  320,    0
158429,19480627,  230,    0
158429,19480628,  180,    0
158429,19480629,  320,    0
158429,19480630,   90,    0
158429,19480701,  160,    0
158429,19480702,  230,    0
158429,19480703,  270,    0
158429,19480704,  230,    0
158429,19480705,  110,    0
158429,19480706,  290,    0
158429,19480707,  320,    0
158429,19480708,  230,    0
158429,19480709,  140,    0
158429,19480710,   70,    0
158429,19480711,  340,    0
158429,19480712,  160,    0
158429,19480713,  180,    0
158429,19480714,  230,    0
158429,19480715,  230,    0
158429,19480716,  340,    0
158429,19480717,  290,    0
158429,19480718,  250,    0
158429,19480719,  200,    0
158429,19480720,  230,    0
158429,19480721,  200,    0
158429,19480722,  250,    0
158429,19480723,  250,    0
158429,19480724,  230,    0
158429,19480725,   90,    0
158429,19480726,  110,    0
158429,19480727,  140,    0
158429,19480728,  360,    0
158429,19480729,  200,    0
158429,19480730,  110,    0
158429,19480731,  140,    0
158429,19480801,  180,    0
158429,19480802,  180,    0
158429,19480803,  270,    0
158429,19480804,  270,    0
158429,19480805,  270,    0
158429,19480806,  290,    0
158429,19480807,  110,    0
158429,19480808,  180,    0
158429,19480809,  230,    0
158429,19480810,  270,    0
158429,19480811,  360,    0
158429,19480812,   90,    0
158429,19480813,   90,    0
158429,19480814,  340,    0
158429,19480815,  320,    0
158429,19480816,  230,    0
158429,19480817,  200,    0
158429,19480818,  270,    0
158429,19480819,  160,    0
158429,19480820,  270,    0
158429,19480821,  270,    0
158429,19480822,  180,    0
158429,19480823,  250,    0
158429,19480824,  250,    0
158429,19480825,  250,    0
158429,19480826,  270,    0
158429,19480827,  290,    0
158429,19480828,  320,    0
158429,19480829,  320,    0
158429,19480830,  250,    0
